127.0.0.1 - - [27/Aug/2018:15:28:11 +0800] "GET / HTTP/1.1" 200 40964
127.0.0.1 - - [27/Aug/2018:15:29:11 +0800] "-" 408 -
127.0.0.1 - - [27/Aug/2018:15:56:23 +0800] "GET /admin/ HTTP/1.1" 500 530
127.0.0.1 - - [27/Aug/2018:16:04:50 +0800] "GET /admin HTTP/1.1" 500 530
127.0.0.1 - - [27/Aug/2018:16:05:50 +0800] "-" 408 -
127.0.0.1 - - [27/Aug/2018:17:20:34 +0800] "GET /amin HTTP/1.1" 404 2059
127.0.0.1 - - [27/Aug/2018:17:20:42 +0800] "GET /admin/ HTTP/1.1" 302 -
127.0.0.1 - - [27/Aug/2018:17:20:42 +0800] "GET /admin/login/?next=/admin/ HTTP/1.1" 200 3543
127.0.0.1 - - [27/Aug/2018:17:20:42 +0800] "GET /static/suit/js/jquery-2.2.4.min.js HTTP/1.1" 404 232
127.0.0.1 - - [27/Aug/2018:17:20:42 +0800] "GET /static/suit/bootstrap/css/bootstrap.min.css HTTP/1.1" 404 241
127.0.0.1 - - [27/Aug/2018:17:20:42 +0800] "GET /static/suit/js/suit.js HTTP/1.1" 404 220
127.0.0.1 - - [27/Aug/2018:17:20:42 +0800] "GET /static/suit/bootstrap/js/bootstrap.min.js HTTP/1.1" 404 239
127.0.0.1 - - [27/Aug/2018:17:20:42 +0800] "GET /static/suit/css/suit.css HTTP/1.1" 404 222
127.0.0.1 - - [27/Aug/2018:17:50:13 +0800] "GET /admin HTTP/1.1" 301 -
127.0.0.1 - - [27/Aug/2018:17:50:13 +0800] "GET /admin/ HTTP/1.1" 302 -
127.0.0.1 - - [27/Aug/2018:17:50:13 +0800] "GET /admin/login/?next=/admin/ HTTP/1.1" 200 3543
127.0.0.1 - - [27/Aug/2018:17:50:14 +0800] "GET /static/suit/css/suit.css HTTP/1.1" 404 222
127.0.0.1 - - [27/Aug/2018:17:50:14 +0800] "GET /static/suit/bootstrap/css/bootstrap.min.css HTTP/1.1" 404 241
127.0.0.1 - - [27/Aug/2018:17:50:14 +0800] "GET /static/suit/js/jquery-2.2.4.min.js HTTP/1.1" 404 232
127.0.0.1 - - [27/Aug/2018:17:50:14 +0800] "GET /static/suit/js/suit.js HTTP/1.1" 404 220
127.0.0.1 - - [27/Aug/2018:17:50:14 +0800] "GET /static/suit/bootstrap/js/bootstrap.min.js HTTP/1.1" 404 239
